uei,start_date,end_date,duration_days,main_cause,location,districts,state,latitude,longitude,severity,area_affected,human_fatality,human_injured,human_displaced,animal_fatality,extent_of_damage,event_source,event_souce_id,district_lgd_codes,state_codes,severity_score,flood_location_raw,flood_site_raw,flood_year,flood_month,flood_day_of_year,flood_month_sin,flood_month_cos,fatality_present,displacement_present,injury_present,area_affected_numeric,historical_flood_count_location,historical_flood_severity_mean_location,historical_flood_severity_max_location,historical_flood_duration_mean_location,historical_flood_duration_max_location,historical_flood_fatality_mean_location,historical_flood_fatality_max_location,historical_flood_displacement_mean_location,historical_flood_displacement_max_location
UEI-IMD-FL-2022-1099,2022-08-19,2022-08-19,1.0,Cloudburst,,"Dehradun, ",Uttarakhand,,,,,,3.0,5.0,,,IMD,,"49, 603",5,,"Dehradun, ",,2022,8,231,-0.8660254037844385,-0.5000000000000004,0,1,1,,2,,,1.0,1.0,,,5.0,5.0
UEI-IMD-FL-2022-1102,2022-08-28,2022-08-28,1.0,Heavy Rains,,Dehradun,Uttarakhand,,,,,3.0,,,,,IMD,,49,5,,Dehradun,,2022,8,240,-0.8660254037844385,-0.5000000000000004,1,0,0,,8,,,1.25,3.0,6.0,11.0,9.0,9.0
UEI-IMD-FL-2022-1103,2022-09-22,2022-09-22,1.0,Landslides triggered by Heavy Rains,,"Dehradun, ",Uttarakhand,,,,,,,,,,IMD,,"49, 603",5,,"Dehradun, ",,2022,9,265,-1.0,-1.8369701987210297e-16,0,0,0,,2,,,1.0,1.0,,,5.0,5.0
UEI-IMD-FL-2022-1104,2022-09-22,2022-09-22,1.0,Landslides triggered by Heavy Rains,,Uttar Kashi Kashi,Uttarakhand,,,,,1.0,,,,,IMD,,,5,,Uttar Kashi Kashi,,2022,9,265,-1.0,-1.8369701987210297e-16,1,0,0,,6,,,1.0,1.0,5.833333333333333,25.0,,
UEI-IMD-FL-2023-0574,2023-06-25,2023-06-25,1.0,Heavy rains,,Rudra Prayag,Uttarakhand,,,,,1.0,,,,,IMD,,54,5,,Rudra Prayag,,2023,6,176,1.2246467991473532e-16,-1.0,1,0,0,,12,,,1.0,1.0,7.111111111111111,26.0,10.333333333333334,17.0
UEI-IMD-FL-2023-0575,2023-06-25,2023-06-25,1.0,Heavy rains,,Uttar Kashi Kashi,Uttarakhand,,,,,1.0,3.0,,,,IMD,,,5,,Uttar Kashi Kashi,,2023,6,176,1.2246467991473532e-16,-1.0,1,0,1,,6,,,1.0,1.0,5.833333333333333,25.0,,
UEI-IMD-FL-2023-0576,2023-07-09,2023-07-09,1.0,Landslide,,Dehradun,Uttarakhand,,,,,3.0,,,,,IMD,,49,5,,Dehradun,,2023,7,190,-0.4999999999999997,-0.8660254037844388,1,0,0,,8,,,1.25,3.0,6.0,11.0,9.0,9.0
UEI-IMD-FL-2023-0577,2023-07-09,2023-07-09,1.0,Heavy rains,,Udam Singh Nagar,Uttarakhand,,,,,2.0,1.0,,,,IMD,,56,5,,Udam Singh Nagar,,2023,7,190,-0.4999999999999997,-0.8660254037844388,1,0,1,,2,,,1.0,1.0,5.0,8.0,,
UEI-IMD-FL-2023-0578,2023-07-10,2023-07-10,1.0,Heavy rains,,Uttar Kashi Kashi,Uttarakhand,,,,,4.0,7.0,,,,IMD,,,5,,Uttar Kashi Kashi,,2023,7,191,-0.4999999999999997,-0.8660254037844388,1,0,1,,6,,,1.0,1.0,5.833333333333333,25.0,,
UEI-IMD-FL-2023-0579,2023-07-11,2023-07-11,1.0,Heavy rains & Landslides,,Pithoragarh,Uttarakhand,,,,,5.0,,,,,IMD,,53,5,,Pithoragarh,,2023,7,192,-0.4999999999999997,-0.8660254037844388,1,0,0,,7,,,1.1428571428571428,2.0,10.857142857142858,43.0,5.0,8.0
UEI-IMD-FL-2023-0580,2023-07-11,2023-07-11,1.0,Heavy rains & Landslides,,Rudra Prayag,Uttarakhand,,,,,3.0,,,,,IMD,,54,5,,Rudra Prayag,,2023,7,192,-0.4999999999999997,-0.8660254037844388,1,0,0,,12,,,1.0,1.0,7.111111111111111,26.0,10.333333333333334,17.0
UEI-IMD-FL-2023-0582,2023-07-16,2023-07-16,1.0,Heavy rains & Floods,,Rudra Prayag,Uttarakhand,,,,,,,,,,IMD,,54,5,,Rudra Prayag,,2023,7,197,-0.4999999999999997,-0.8660254037844388,0,0,0,,12,,,1.0,1.0,7.111111111111111,26.0,10.333333333333334,17.0
UEI-IMD-FL-2023-0581,2023-07-16,2023-07-16,1.0,Heavy rains & Floods,,Chamoli,Uttarakhand,,,,,5.0,,,,,IMD,,47,5,,Chamoli,,2023,7,197,-0.4999999999999997,-0.8660254037844388,1,0,0,,13,,,1.5384615384615385,7.0,18.88888888888889,70.0,104.5,205.0
UEI-IMD-FL-2023-0583,2023-07-17,2023-07-17,1.0,Heavy Rains & Floods,,Rudra Prayag,Uttarakhand,,,,,,14.0,,,,IMD,,54,5,,Rudra Prayag,,2023,7,198,-0.4999999999999997,-0.8660254037844388,0,0,1,,12,,,1.0,1.0,7.111111111111111,26.0,10.333333333333334,17.0
UEI-IMD-FL-2023-0584,2023-08-04,2023-08-04,1.0,Massive Landslide,,Rudra Prayag,Uttarakhand,,,,,10.0,,13.0,,,IMD,,54,5,,Rudra Prayag,,2023,8,216,-0.8660254037844385,-0.5000000000000004,1,1,0,,12,,,1.0,1.0,7.111111111111111,26.0,10.333333333333334,17.0
UEI-IMD-FL-2023-0585,2023-08-06,2023-08-06,1.0,Heavy Rains,,Tehri Garhwal,Uttarakhand,,,,,2.0,1.0,,,,IMD,,55,5,,Tehri Garhwal,,2023,8,218,-0.8660254037844385,-0.5000000000000004,1,0,1,,8,,,1.0,1.0,5.285714285714286,11.0,2.0,2.0
UEI-IMD-FL-2023-0586,2023-08-07,2023-08-07,1.0,Landslide,,Rudra Prayag,Uttarakhand,,,,,3.0,,17.0,,,IMD,,54,5,,Rudra Prayag,,2023,8,219,-0.8660254037844385,-0.5000000000000004,1,1,0,,12,,,1.0,1.0,7.111111111111111,26.0,10.333333333333334,17.0
UEI-IMD-FL-2023-0587,2023-08-09,2023-08-09,1.0,Landslides,,Rudra Prayag,Uttarakhand,,,,,7.0,3.0,1.0,,,IMD,,54,5,,Rudra Prayag,,2023,8,221,-0.8660254037844385,-0.5000000000000004,1,1,1,,12,,,1.0,1.0,7.111111111111111,26.0,10.333333333333334,17.0
UEI-IMD-FL-2023-0588,2023-08-10,2023-08-10,1.0,Heavy Rains,,Garhwal,Uttarakhand,,,,,1.0,,,,,IMD,,52,5,,Garhwal,,2023,8,222,-0.8660254037844385,-0.5000000000000004,1,0,0,,8,,,2.5,7.0,15.333333333333334,70.0,,
UEI-IMD-FL-2023-0589,2023-08-10,2023-08-10,1.0,Landslide,,Rudra Prayag,Uttarakhand,,,,,5.0,,,,,IMD,,54,5,,Rudra Prayag,,2023,8,222,-0.8660254037844385,-0.5000000000000004,1,0,0,,12,,,1.0,1.0,7.111111111111111,26.0,10.333333333333334,17.0
UEI-IMD-FL-2023-0590,2023-08-14,2023-08-14,1.0,Torrential rains & Landslides,,Dehradun,Uttarakhand,,,,,4.0,,9.0,,,IMD,,49,5,,Dehradun,,2023,8,226,-0.8660254037844385,-0.5000000000000004,1,1,0,,8,,,1.25,3.0,6.0,11.0,9.0,9.0
UEI-IMD-FL-2023-0591,2023-08-14,2023-08-14,1.0,Landslide,,Tehri Garhwal,Uttarakhand,,,,,4.0,,,,,IMD,,55,5,,Tehri Garhwal,,2023,8,226,-0.8660254037844385,-0.5000000000000004,1,0,0,,8,,,1.0,1.0,5.285714285714286,11.0,2.0,2.0
UEI-IMD-FL-2023-0592,2023-08-15,2023-08-15,1.0,Heavy Rains,,Chamoli,Uttarakhand,,,,,,3.0,4.0,,,IMD,,47,5,,Chamoli,,2023,8,227,-0.8660254037844385,-0.5000000000000004,0,1,1,,13,,,1.5384615384615385,7.0,18.88888888888889,70.0,104.5,205.0
UEI-IMD-FL-2023-0593,2023-08-21,2023-08-21,1.0,Landslide,,Tehri Garhwal,Uttarakhand,,,,,5.0,,,,,IMD,,55,5,,Tehri Garhwal,,2023,8,233,-0.8660254037844385,-0.5000000000000004,1,0,0,,8,,,1.0,1.0,5.285714285714286,11.0,2.0,2.0
UEI-IMD-FL-2023-0594,2023-08-23,2023-08-23,1.0,Heavy Rains,,Garhwal,Uttarakhand,,,,,1.0,,,,,IMD,,52,5,,Garhwal,,2023,8,235,-0.8660254037844385,-0.5000000000000004,1,0,0,,8,,,2.5,7.0,15.333333333333334,70.0,,
UEI-IMD-FL-2023-0633,2023-08-26,2023-08-26,1.0,Heavy Rains & Floods,,Chamoli,Uttarakhand,,,,,2.0,,,,,IMD,,47,5,,Chamoli,,2023,8,238,-0.8660254037844385,-0.5000000000000004,1,0,0,,13,,,1.5384615384615385,7.0,18.88888888888889,70.0,104.5,205.0
