uei,start_date,end_date,duration_days,main_cause,location,districts,state,latitude,longitude,severity,area_affected,human_fatality,human_injured,human_displaced,animal_fatality,extent_of_damage,event_source,event_souce_id,district_lgd_codes,state_codes,severity_score,flood_location_raw,flood_site_raw,flood_year,flood_month,flood_day_of_year,flood_month_sin,flood_month_cos,fatality_present,displacement_present,injury_present,area_affected_numeric,historical_flood_count_location,historical_flood_severity_mean_location,historical_flood_severity_max_location,historical_flood_duration_mean_location,historical_flood_duration_max_location,historical_flood_fatality_mean_location,historical_flood_fatality_max_location,historical_flood_displacement_mean_location,historical_flood_displacement_max_location
UEI-IMD-FL-2013-0131,2013-06-14,2013-06-18,5.0,"heavy to very rainfall/flash floods (saraswati,mandakini rivers,its tributaries triggered by very heavy rainfall,lake burst), cloudburst on jun16 &17 jun, massive landslides,avalanches reported at multiple places. ",,"Chamoli, Pithoragarh, Rudra Prayag,Uttar Kashi Kashi",Uttarakhand,,,,,5000.0,,,1000.0,"i) More than thousands of pilgrims of Char Dham on the Gangotri,Yamunotri routes, Hemkund, Roopkunda,tourists/trakers of Valley of flowers stranded. ii) Lakhs of people shifted to safer places. iii) Many roads including state highways, infrastructures, villages washed away/damaged. iv) Many Hydroelectric projects, houses, water schemes, bridges, commercial,residential buildings, hotels, rest houses, shops, temples, telephone towers, vehicles destroyed/ drifted in the floods of rivers. v) Damage to the cash crops especially apple crops reported.    ",IMD,,"47, 53, 54, None",5,,"Chamoli, Pithoragarh, Rudra Prayag,Uttar Kashi Kashi",,2013,6,165,1.2246467991473532e-16,-1.0,1,0,0,,1,,,5.0,5.0,5000.0,5000.0,,
UEI-IMD-FL-2014-0086,2014-07-27,2014-07-27,1.0,heavy rains ,,Pithoragarh ,Uttarakhand,,,,,6.0,,,,,IMD,,53,5,,Pithoragarh ,,2014,7,208,-0.4999999999999997,-0.8660254037844388,1,0,0,,1,,,1.0,1.0,6.0,6.0,,
UEI-IMD-FL-2014-0087,2014-07-31,2014-07-31,1.0,heavy rains,,Tehri Garhwal ,Uttarakhand,,,,,5.0,,,,,IMD,,55,5,,Tehri Garhwal ,,2014,7,212,-0.4999999999999997,-0.8660254037844388,1,0,0,,1,,,1.0,1.0,5.0,5.0,,
UEI-IMD-FL-2014-0088,2014-08-11,2014-08-11,1.0,heavy rains ,,Parts of Uttar Kashiakhand ,Uttarakhand,,,,,,,,,,IMD,,,5,,Parts of Uttar Kashiakhand ,,2014,8,223,-0.8660254037844385,-0.5000000000000004,0,0,0,,1,,,1.0,1.0,,,,
UEI-IMD-FL-2015-0104,2015-07-26,2015-07-26,1.0,heavy rains,,Parts of Uttar Kashiakhand,Uttarakhand,,,,,1.0,,,,,IMD,,,5,,Parts of Uttar Kashiakhand,,2015,7,207,-0.4999999999999997,-0.8660254037844388,1,0,0,,2,,,1.0,1.0,3.0,5.0,,
UEI-IMD-FL-2016-0126,2016-05-08,2016-05-08,1.0,landslide,,Chamoli,Uttarakhand,,,,,,,,,i) Damage to more than 10 houses reported ii) Damage to more than half dozen vehicles reported.,IMD,,47,5,,Chamoli,,2016,5,129,0.49999999999999994,-0.8660254037844387,0,0,0,,13,,,1.5384615384615385,7.0,18.88888888888889,70.0,104.5,205.0
UEI-IMD-FL-2016-0127,2016-05-22,2016-05-22,1.0,landslide,,Dehradun,Uttarakhand,,,,,10.0,5.0,,,,IMD,,49,5,,Dehradun,,2016,5,143,0.49999999999999994,-0.8660254037844387,1,0,1,,8,,,1.25,3.0,6.0,11.0,9.0,9.0
UEI-IMD-FL-2016-0128,2016-05-28,2016-05-28,1.0,cloud burst,,"Tehri Garhwal,Uttar Kashi Kashi",Uttarakhand,,,,,5.0,,,,,IMD,,"55, None",5,,"Tehri Garhwal,Uttar Kashi Kashi",,2016,5,149,0.49999999999999994,-0.8660254037844387,1,0,0,,3,,,1.0,1.0,14.666666666666666,33.0,,
UEI-IMD-FL-2016-0129,2016-07-03,2016-07-03,1.0,cloud burst,,"Chamoli, Pithoragarh",Uttarakhand,,,,,20.0,12.0,,,i) 150 families affected ii) 4 houses fully & 12 houses partially damaged.,IMD,,"47, 53",5,,"Chamoli, Pithoragarh",,2016,7,185,-0.4999999999999997,-0.8660254037844388,1,0,1,,2,,,2.0,3.0,10.5,20.0,,
UEI-IMD-FL-2016-0130,2016-07-16,2016-07-17,2.0,heavy rains & heavy rains &,,"Dehradun, Nainital, Tehri Garhwal, Uttar Kashi Kashi",Uttarakhand,,,,,15.0,,,,"i) Rishikesh-Badrinath national highway,the Rishikesh - Kedarnath National Highway between Sonprayag,Gaurikund, remained cut off. ii) Damage to several bridges across the state reported.",IMD,,"49, 51, 55, None",5,,"Dehradun, Nainital, Tehri Garhwal, Uttar Kashi Kashi",,2016,7,198,-0.4999999999999997,-0.8660254037844388,1,0,0,,1,,,2.0,2.0,15.0,15.0,,
UEI-IMD-FL-2016-0131,2016-07-21,2016-07-23,3.0,landslide,,Dehradun,Uttarakhand,,,,,11.0,,,,,IMD,,49,5,,Dehradun,,2016,7,203,-0.4999999999999997,-0.8660254037844388,1,0,0,,8,,,1.25,3.0,6.0,11.0,9.0,9.0
UEI-IMD-FL-2017-0120,2017-05-20,2017-05-20,1.0,Landslide,,Chamoli,Uttarakhand,,,,,13.0,,,,Thousands of Pilgrims stranded,IMD,,47,5,,Chamoli,,2017,5,140,0.49999999999999994,-0.8660254037844387,1,0,0,,13,,,1.5384615384615385,7.0,18.88888888888889,70.0,104.5,205.0
UEI-IMD-FL-2017-0121,2017-08-13,2017-08-13,1.0,Landslide,,Pithoragarh,Uttarakhand,,,,,1.0,,2.0,18.0,,IMD,,53,5,,Pithoragarh,,2017,8,225,-0.8660254037844385,-0.5000000000000004,1,1,0,,7,,,1.1428571428571428,2.0,10.857142857142858,43.0,5.0,8.0
UEI-IMD-FL-2018-0117,2018-08-30,2018-08-30,1.0,Landslide,,Tehri Garhwal,Uttarakhand,,,,,6.0,,,,Damage to houses reported,IMD,,55,5,,Tehri Garhwal,,2018,8,242,-0.8660254037844385,-0.5000000000000004,1,0,0,,8,,,1.0,1.0,5.285714285714286,11.0,2.0,2.0
UEI-IMD-FL-2018-0116,2018-11-07,2018-11-07,1.0,Heavy Rains,,Dehradun,Uttarakhand,,,,,7.0,,,,,IMD,,49,5,,Dehradun,,2018,11,311,-0.5000000000000004,0.8660254037844384,1,0,0,,8,,,1.25,3.0,6.0,11.0,9.0,9.0
UEI-IMD-FL-2019-0147,2019-02-06,2019-02-06,1.0,Flash floods,,"Almora, Chamoli",Uttarakhand,,,,,1.0,,1.0,,"i) Damage to agricultural land reported. ii) Damage to several houses, cowsheds reported. iii) Damage to main roads,local bridges reported. iv) Large-scale destruction in Gangnahar, Lambagad, Ramgaderi, Bisht Bhankhli,Negi Bankhali villages reported. v) The Mahelchouri-Chaukhatiya highway blocked due to the debris.",IMD,,"45, 47",5,,"Almora, Chamoli",,2019,2,37,0.8660254037844386,0.5000000000000001,1,1,0,,1,,,1.0,1.0,1.0,1.0,1.0,1.0
UEI-IMD-FL-2019-0155,2019-02-09,2019-02-09,1.0,Cloud Burst,,Almora,Uttarakhand,,,,,,,,,Damage to house reported in Jajar village in Dhauladevi Block.,IMD,,45,5,,Almora,,2019,2,40,0.8660254037844386,0.5000000000000001,0,0,0,,5,,,1.2,2.0,4.0,9.0,,
UEI-IMD-FL-2019-0150,2019-04-07,2019-04-07,1.0,Heavy rains,,Rudra Prayag,Uttarakhand,,,,,,,,,Damage to water pipeline & 40-meter road reported in Sari Chamshil village of Augustmuni block.,IMD,,54,5,,Rudra Prayag,,2019,4,97,0.8660254037844387,-0.4999999999999998,0,0,0,,12,,,1.0,1.0,7.111111111111111,26.0,10.333333333333334,17.0
UEI-IMD-FL-2019-0151,2019-06-08,2019-06-08,1.0,Heavy rains & flash flood as a result of cloud burst,,"Chamoli, Garhwal, Uttar Kashi Kashi",Uttarakhand,,,,,,,,,"i) Damage to 11 bridges reported. ii) Damage to a school building from Pathar Katta village of Gairsain area reported. iii) Severe damage to properties in Chad a local nullah reported. iv) Damage to 4 cowsheds reported. v) Thousands of visitors stranded as Rishikesh-Badrinath highway at Lambagad was blocked. In addition, several other motor roads in Chamoli, Uttarkashi,Pauri districts affected.",IMD,,"47, 52, None",5,,"Chamoli, Garhwal, Uttar Kashi Kashi",,2019,6,159,1.2246467991473532e-16,-1.0,0,0,0,,1,,,1.0,1.0,,,,
UEI-IMD-FL-2019-0156,2019-06-09,2019-08-09,3.0,Heavy rains & flash flood as a result of cloud burst,,"Chamoli, Pithoragarh",Uttarakhand,,,,,1.0,3.0,,6.0,"i) Damage to several acres of farmland reported. ii) Damage to a portion of inter college reported. iii) Damage to several houses, cowsheds reported. iv) Damage to several roads including 60-meter stretch of Thal-Munsyari highway, 30 meters stretch of Badrinath highway reported due to which thousands of pilgrims stranded at different locations. v) More than 40 vehicles washed away. vi) 2 water mills were washed away. vii) The electricity,communication services disrupted.",IMD,,"47, 53",5,,"Chamoli, Pithoragarh",,2019,6,160,1.2246467991473532e-16,-1.0,1,0,1,,2,,,2.0,3.0,10.5,20.0,,
UEI-IMD-FL-2019-0148,2019-06-21,2019-06-21,1.0,Heavy rains & flash flood as a result of cloud burst,,Uttar Kashi Kashi,Uttarakhand,,,,,1.0,4.0,,,i) Damage to houses & shops reported. ii) Several trees uprooted causing blocking of main road for a couple of hours.,IMD,,,5,,Uttar Kashi Kashi,,2019,6,172,1.2246467991473532e-16,-1.0,1,0,1,,6,,,1.0,1.0,5.833333333333333,25.0,,
UEI-IMD-FL-2019-0149,2019-06-23,2019-06-23,1.0,Floods in Binnu river,,Garhwal,Uttarakhand,,,,,,,,,"Damage to houses in Mansari,Kanadi villages in Chauthan Patti area of Thailisain block reported.",IMD,,52,5,,Garhwal,,2019,6,174,1.2246467991473532e-16,-1.0,0,0,0,,8,,,2.5,7.0,15.333333333333334,70.0,,
UEI-IMD-FL-2019-0152,2019-08-08,2019-09-08,2.0,"Heavy rains, flash flood as a result of cloud burst",,"Chamoli, Garhwal, Rudra Prayag, Tehri Garhwal",Uttarakhand,,,,,5.0,5.0,,40.0,"i) Damage to agricultural land reported. ii) Damage to more than 230 houses, 50 shops, Twenty Four cowsheds reported. iii) Damage to 10 water mills, water supply lines reported. iv) Damage to more than two dozen local footbridges,about 60 connecting roads reported.",IMD,,"47, 52, 54, 55",5,,"Chamoli, Garhwal, Rudra Prayag, Tehri Garhwal",,2019,8,220,-0.8660254037844385,-0.5000000000000004,1,0,1,,1,,,2.0,2.0,5.0,5.0,,
UEI-IMD-FL-2019-0154,2019-08-18,2019-08-18,1.0,"Heavy rains & flash floods (in Tons, Pabbar River) & Landslide",,"Dehradun, Garhwal, Tehri Garhwal, Uttar Kashi Kashi",Uttarakhand,,,,,19.0,,,60.0,"i) Extensive damage to agricultural lands reported. ii) Extensive damage to bridges, a primary school reported. iii) Damage to Several houses, cowsheds, shops reported. iv) Several vehicles washed away. v) A helipad submerged in floodwater,national highways were blocked. vi) Damage to around half a dozen villages viz. Makudi, Arakot, Sanel, Tikochi, Khakwadi, Chinwa, Gokul from Uttarkashi Dist. (which is the worst affected district) due to landslide reported. vii) The Mason village in Chauthan Patti area of Thailisain block in Garhwal, Dist. also affected. viii) Several trees uprooted.",IMD,,"49, 52, 55, None",5,,"Dehradun, Garhwal, Tehri Garhwal, Uttar Kashi Kashi",,2019,8,230,-0.8660254037844385,-0.5000000000000004,1,0,0,,1,,,1.0,1.0,19.0,19.0,,
UEI-IMD-FL-2019-0157,2019-09-27,2019-09-27,1.0,Heavy rains & flash flood,,Dehradun,Uttarakhand,,,,,,,,,Damage to about 15 houses in Clement town reported.,IMD,,49,5,,Dehradun,,2019,9,270,-1.0,-1.8369701987210297e-16,0,0,0,,8,,,1.25,3.0,6.0,11.0,9.0,9.0
UEI-IMD-FL-2019-0153,2019-12-08,2019-12-08,1.0,"Heavy rains, flash floods & Landslide",,"Bageshwar, Chamoli",Uttarakhand,,,,,6.0,,,,"i) Damage to farmlands reported. ii) Damage to drinking water pipelines reported. iii) Damage to Several houses, cowsheds, shops reported. iv) Landslide occurred at Aali, Lankhi & Banjba Gad villages from Chamoli Dist. reported. v) Parts of Katyur valley of Bageshwar Dist. affected.",IMD,,"46, 47",5,,"Bageshwar, Chamoli",,2019,12,342,-2.4492935982947064e-16,1.0,1,0,0,,1,,,1.0,1.0,6.0,6.0,,
UEI-IMD-FL-2020-0138,2020-07-15,2020-07-15,1.0,Heavy Rains,,Dehradun,Uttarakhand,,,,,4.0,2.0,,,Complete damage to a house reported,IMD,,49,5,,Dehradun,,2020,7,197,-0.4999999999999997,-0.8660254037844388,1,0,1,,8,,,1.25,3.0,6.0,11.0,9.0,9.0
UEI-IMD-FL-2020-0139,2020-07-18,2020-07-19,2.0,Heavy Rains & Cloud Burst,,Pithoragarh,Uttarakhand,,,,,3.0,,8.0,,"i) Damage to a bridge on Gori river in the hill town of Munsiyari reported. ii) 4 houses completely damaged. iii) Damage to main roads connecting district headquarters to Bangapani, Munsiyari,Dharchula areas reported. iv) Damage to water pipelines reported.",IMD,,53,5,,Pithoragarh,,2020,7,200,-0.4999999999999997,-0.8660254037844388,1,1,0,,7,,,1.1428571428571428,2.0,10.857142857142858,43.0,5.0,8.0
UEI-IMD-FL-2020-0140,2020-08-25,2020-08-25,1.0,Heavy Rains & Cloud Burst,,Chamoli,Uttarakhand,,,,,1.0,3.0,,,i) Extensive damage to Panchayat Ghar reported. ii) The Rishikesh-Gangotri National Highway in Uttarakhand is blocked near Narendra Nagar,IMD,,47,5,,Chamoli,,2020,8,238,-0.8660254037844385,-0.5000000000000004,1,0,1,,13,,,1.5384615384615385,7.0,18.88888888888889,70.0,104.5,205.0
